Threshold,Normality,Distance,Class
150,0.182002507,48.0416486,Benign
154,0.095264936,70.9365914,Malignant
173,0.13077682,42.19004622,Benign
162,0.072164173,71.69379332,Malignant
182,0.123170756,77.25283166,Benign
161,0.089533342,88.20430828,Malignant
165,0.143691714,52,Benign
149,0.064621302,167.8689965,Malignant
147,0.222468443,20.59126028,Benign
183,0.13721249,38.20994635,Malignant
146,0.214499283,28.63564213,Benign
182,0.141232966,28,Malignant
158,0.217745447,26.68332813,Benign
190,0.172053312,36,Malignant
157,0.158502518,21.63330765,Benign
176,0.157251227,39.44616585,Malignant
190,0.032592299,88.5663593,Benign
173,0.212960492,38.20994635,Malignant
167,0.141730177,46.69047012,Benign
161,0.198024691,33.28663395,Malignant
184,0.077303947,55.1724569,Benign
181,0.192355507,36.22154055,Malignant
173,0.100385099,62.48199741,Benign
173,0.196697032,124.3382483,Malignant
183,0.072665419,90.35485598,Benign
137,0.124106612,78.4346862,Malignant
155,0.160089023,68.11754546,Benign
139,0.119900646,69.85699679,Malignant
169,0.11599446,64.89992296,Benign
138,0.125373967,78.23042886,Malignant
158,0.15137132,52.49761899,Benign
133,0.146120535,61.05735009,Malignant
124,0.148615324,42.04759208,Benign
143,0.075770246,74.21590126,Malignant
127,0.154202333,44.94441011,Benign
135,0.113025838,60.16643583,Malignant
120,0.146334028,45.3431362,Benign
153,0.064584946,94.53041838,Malignant
128,0.150336242,42,Benign
129,0.116787925,73.34848328,Malignant
122,0.129696965,56.63920903,Benign
139,0.129136598,56.60388679,Malignant
148,0.127446742,64.40496875,Benign
141,0.125741515,52,Malignant
141,0.127922782,68.35202996,Benign
135,0.142159255,69.85699679,Malignant
141,0.135312974,71.55417528,Benign
134,0.123695255,60.46486583,Malignant
165,0.167630663,54.58937626,Benign
159,0.139518079,49.51767361,Malignant
